ElementName,Common,Aldo,CIS,Globo
reviewSubTitle,//*[@class="c-checkout--review-step-subtitle"]
cartId,//*[@class="c-checkout__cart-id"]
productName,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-name"]
productThumbnail,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-thumbnail"]
productOriginalPrice,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-original-price"]
productSalePrice,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-sale-price"]
productFinalPrice,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-final-price"]
productColour,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-style"]
productSize,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-size"]
productQuantity,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="product-quantity"]
cartSubTotal,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="cart-summary-subtotal-value"]
cartTotal,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="cart-summary-total-value"]
enterPromoButton,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="u-btn c-cart-summary-promotion-add__add-btn u-link u-link--underlined u-link--basic-text"]
enterPromoField,//*[@aria-labelledby="reviewStartStepButton"]//*[@id="promoCode"]
applyButton,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="u-btn u-btn--secondary u-btn--is-small add-promotion-submit c-cart-summary-form__btn"]
cancelButton,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="u-btn u-link u-link--underlined u-link--basic-text"]
taxCode,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="tax-code"]
expandTaxesButton,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="c-icon c-checkout--tax-expand-icon"]
taxAmount,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="c-checkout__tax-amount"]
taxItemAmount,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="c-cart-summary-tax-item__amount"]
saveInformationCheckBox,//*[@aria-labelledby="reviewStartStepButton"]//*[@id="shouldCreateAccount"]
passwordField,//*[@aria-labelledby="reviewStartStepButton"]//*[@id="newPassword"]
aldoCrewPostalCodeField, ,//*[@aria-labelledby="reviewStartStepButton"]//*[@id="zipCode"]
aldoCrewFemaleRadioButon, ,//*[@aria-labelledby="reviewStartStepButton"]//*[@id="Female-radio"]
aldoCrewMaleRadioButton, ,//*[@aria-labelledby="reviewStartStepButton"]//*[@id="Male-radio"]
passwordShowButton,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="u-btn c-form-field-text-password__toggle"]
createAccountForm,//*[@aria-labelledby="reviewStartStepButton"]//*[@class="c-create-account-from-form"],//*[@aria-labelledby="reviewStartStepButton"]//*[@class="c-create-account-from-form c-create-account-from-form-loyalty"]
placeOrderButton,//*[@data-qa-id="place-order-button"]
totalCurrencyCode,//*[@aria-labelledby="reviewStartStepButton"]//*[@data-qa-id="cart-summary-total-currency-code"]
